idContact,idContactlist
13744751.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""BELLATELA"" } } }"
13744754.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""BRILLADORA EL DIAMANTE S.A"" } } }"
13744755.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""BRINKS DE COLOMBIA S.A"" } } }"
13744756.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""BRINKS DE COLOMBIA S.A"" } } }"
13744757.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""Bristol Myers Squibb De Colombia S.A."" } } }"
13744758.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""BSN MEDICAL LTDA"" } } }"
13744759.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""BSN MEDICAL LTDA"" } } }"
13744760.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CAFÉ AGUILA ROJA"" } } }"
13744761.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CALIER"" } } }"
13744762.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CALIER"" } } }"
13744765.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CAMACOL"" } } }"
13744766.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CAMACOL"" } } }"
13744768.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CARLOSA.CATAÑEDA Y CIAS LA GITANA"" } } }"
13744769.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CARLOSA.CATAÑEDA Y CIAS LA GITANA"" } } }"
13744770.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CARNES FRIAS ENRIKO"" } } }"
13744771.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CARNES Y DERIVADOS DE  OCCIDENTE"" } } }"
13744779.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CENTRACAR"" } } }"
13744780.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CENTRAL DE TRANSPORTES S.A"" } } }"
13744783.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CENTRALES  DE TRANSPORTES S.A"" } } }"
13744785.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CENTRO COMERCIAL UNICO OUTLET"" } } }"
13744786.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CENTRO DE EVENTOS VALLE DEL PACIFICO S.A"" } } }"
13744787.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CERVALLE"" } } }"
13744788.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CERVALLE"" } } }"
13744789.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CERVALLE"" } } }"
13744790.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CERVECERIA DEL VALLE"" } } }"
13744792.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CITA ANDINA DE COLOMBIA S.A"" } } }"
13744793.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CITA ANDINA DE COLOMBIA S.A"" } } }"
13744794.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CLEANER"" } } }"
13744795.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CLEANER S.A"" } } }"
13744802.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CLINICA NUESTRA SEÑORA DE LOS REMEDIOS"" } } }"
13744804.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CLINICA VALLE SALUD"" } } }"
13744805.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CLUB CAMPESTRE"" } } }"
13744806.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""Club Colombia"" } } }"
13744808.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CLUB DEPORTIVO CALI"" } } }"
13744809.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CMP INGENIEROS"" } } }"
13744810.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CMYM CONSULRORES DE SEGUROS"" } } }"
13744812.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COLOMBINA AMAQUILA"" } } }"
13744815.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COLPENSIONES"" } } }"
